City_ID,City,Country,Date,Humidity,Lat,Lng,Max Temp,Cloudiness,Wind Speed
156,Souillac,MU,2020-07-06 22:36:55,94,-20.52,57.52,73.4,75,5.82
157,Ullapool,GB,2020-07-06 22:36:55,90,57.9,-5.16,50.0,84,4.0
158,Praxedis Guerrero,MX,2020-07-06 22:36:55,17,31.37,-106.02,100.4,40,9.91
159,Cayenne,GF,2020-07-06 22:36:55,88,4.93,-52.33,80.6,90,4.7
160,Valverde Del Camino,ES,2020-07-06 22:36:55,47,37.58,-6.75,80.01,0,7.38
161,Pacific Grove,US,2020-07-06 22:36:56,59,36.62,-121.92,66.99,1,11.41
162,Joniskelis,LT,2020-07-06 22:36:56,76,56.03,24.17,57.2,100,9.17
163,Gondanglegi,ID,2020-07-06 22:36:56,86,-7.75,112.01,74.95,98,12.06
164,Kristiinankaupunki,FI,2020-07-06 22:36:56,88,62.27,21.38,55.45,100,17.25
165,Daru,PG,2020-07-06 22:36:56,85,-9.08,143.21,78.3,43,18.43
166,Lompoc,US,2020-07-06 22:36:56,56,34.64,-120.46,69.8,0,18.34
167,Altamira,BR,2020-07-06 22:36:56,66,-3.2,-52.21,80.38,97,0.92
168,Airai,TL,2020-07-06 22:36:57,100,-8.93,125.41,59.61,38,4.09
169,Guerrero Negro,MX,2020-07-06 22:36:57,38,27.98,-114.06,82.78,30,19.17
170,Iqaluit,CA,2020-07-06 22:36:57,66,63.75,-68.51,50.0,75,4.7
171,Avarua,CK,2020-07-06 22:33:56,73,-21.21,-159.78,75.2,99,11.41
172,Katobu,ID,2020-07-06 22:36:57,91,-4.94,122.53,75.6,12,4.52
173,Tabas,IR,2020-07-06 22:36:57,16,33.6,56.92,84.2,4,6.93
174,Berdigestyakh,RU,2020-07-06 22:36:57,45,62.1,126.7,62.83,32,3.62
175,Wagar,SD,2020-07-06 22:36:58,54,16.15,36.2,83.68,90,28.34
176,Pisco,PE,2020-07-06 22:36:58,82,-13.7,-76.22,64.4,22,8.05
177,Koksovyy,RU,2020-07-06 22:36:58,36,48.2,40.6,76.17,0,7.94
178,Saint-Pierre,RE,2020-07-06 22:36:58,94,-21.34,55.48,69.8,90,4.7
179,Nanortalik,GL,2020-07-06 22:36:58,83,60.14,-45.24,42.26,98,3.2
180,Assis,BR,2020-07-06 22:36:58,79,-22.66,-50.41,66.18,51,4.68
181,Toora-Khem,RU,2020-07-06 22:36:59,89,52.47,96.11,58.93,92,3.13
182,Tezu,IN,2020-07-06 22:36:59,84,27.92,96.17,76.89,98,1.72
183,Saint-Louis,SN,2020-07-06 22:36:59,58,16.33,-15.0,86.0,81,14.2
184,Nantucket,US,2020-07-06 22:32:03,77,41.28,-70.1,70.0,20,12.75
185,Plettenberg Bay,ZA,2020-07-06 22:36:59,79,-34.05,23.37,58.48,8,10.47
186,Walvis Bay,NA,2020-07-06 22:36:59,33,-22.96,14.51,59.0,0,3.36
187,Mazagao,BR,2020-07-06 22:37:00,94,-0.12,-51.29,82.4,40,4.7
188,Samarai,PG,2020-07-06 22:37:00,82,-10.62,150.67,77.81,71,19.33
189,Pitimbu,BR,2020-07-06 22:37:00,88,-7.47,-34.81,75.2,8,8.05
190,Shingu,JP,2020-07-06 22:37:00,92,33.73,135.98,76.77,97,11.52
191,Cherskiy,RU,2020-07-06 22:37:00,62,68.75,161.3,59.95,71,16.28
