City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
157,Egvekinot,RU,66.32,-179.17,42.44,93,99,3.44,light rain,0.0,0.0
158,Dikson,RU,73.51,80.55,50.5,63,11,15.1,few clouds,0.0,0.0
159,Alekseyevsk,RU,57.84,108.35,72.3,45,56,6.33,broken clouds,0.0,0.0
160,Gat,IL,31.61,34.76,73.99,93,3,5.01,clear sky,0.0,0.0
161,Trofors,NO,65.53,13.41,46.4,93,100,4.7,overcast clouds,0.0,0.0
162,Mengyin,CN,35.71,117.93,88.79,39,0,9.53,clear sky,0.0,0.0
163,San Rafael,AR,-34.62,-68.33,42.24,66,89,5.75,overcast clouds,0.0,0.0
164,Clonakilty,IE,51.62,-8.87,52.0,93,78,6.93,broken clouds,0.0,0.0
165,Butaritari,KI,3.07,172.79,83.71,75,15,12.33,few clouds,0.0,0.0
166,Panambi,BR,-28.29,-53.5,50.85,93,99,16.69,moderate rain,0.0,0.0
167,Lompoc,US,34.64,-120.46,62.6,67,0,18.34,clear sky,0.0,0.0
168,Mamou,GN,10.5,-12.0,67.26,95,100,2.01,overcast clouds,0.0,0.0
169,Lexington,US,37.99,-84.48,77.0,69,1,13.87,clear sky,0.0,0.0
170,Te Anau,NZ,-45.42,167.72,44.92,77,96,3.4,overcast clouds,0.0,0.0
171,Torbay,CA,47.67,-52.73,50.0,87,75,3.36,broken clouds,0.0,0.0
172,Broken Hill,AU,-31.95,141.43,50.0,61,90,10.29,overcast clouds,0.0,0.0
173,La Ronge,CA,55.1,-105.28,69.8,46,20,8.05,few clouds,0.0,0.0
174,Bilma,NE,18.69,12.92,84.94,14,53,8.68,broken clouds,0.0,0.0
175,Perth,AU,-31.93,115.83,64.99,72,40,3.36,scattered clouds,0.0,0.0
176,Muros,ES,42.78,-9.06,63.0,78,0,7.0,clear sky,0.0,0.0
177,Isangel,VU,-19.55,169.27,73.4,78,90,11.92,overcast clouds,0.0,0.0
178,Leningradskiy,RU,69.38,178.42,46.44,74,100,4.92,overcast clouds,0.0,0.0
179,Conceicao Do Araguaia,BR,-8.26,-49.26,78.8,57,0,4.7,clear sky,0.0,0.0
180,Bethel,US,41.37,-73.41,70.0,88,40,4.7,scattered clouds,0.0,0.0
181,Talegaon Dabhade,IN,18.72,73.68,75.69,85,100,15.21,light rain,0.0,0.0
182,Vresina,CZ,49.82,18.13,57.2,67,100,5.82,overcast clouds,0.0,0.0
183,Ginir,ET,7.13,40.7,56.35,92,96,7.2,overcast clouds,0.0,0.0
184,Boundiali,CI,9.52,-6.49,72.21,88,54,2.17,light rain,0.0,0.0
185,Havre-Saint-Pierre,CA,50.23,-63.6,55.4,87,1,6.93,clear sky,0.0,0.0
186,Atherton,GB,53.52,-2.49,55.0,83,99,1.01,overcast clouds,0.0,0.0
187,Qaqortoq,GL,60.72,-46.03,46.4,70,82,3.36,broken clouds,0.0,0.0
188,Kosh-Agach,RU,50.0,88.67,56.57,62,79,0.83,broken clouds,0.0,0.0
189,Migori,KE,-1.06,34.47,63.77,71,98,3.78,overcast clouds,0.0,0.0
190,Cherskiy,RU,68.75,161.3,65.98,44,34,14.81,scattered clouds,0.0,0.0
191,General Roca,AR,-39.03,-67.58,39.2,93,75,8.05,light intensity drizzle,0.0,0.0
192,Doha,QA,25.29,51.53,96.01,66,0,2.24,clear sky,0.0,0.0
193,Nanortalik,GL,60.14,-45.24,40.42,83,91,1.61,overcast clouds,0.0,0.0
194,Northam,GB,51.03,-4.22,53.01,94,5,5.99,clear sky,0.0,0.0
195,Lashio,MM,22.93,97.75,77.23,83,100,3.49,light rain,0.0,0.0
196,Faanui,PF,-16.48,-151.75,78.69,79,37,13.11,scattered clouds,0.0,0.0
197,Ponta Do Sol,PT,32.67,-17.1,69.8,77,20,3.22,few clouds,0.0,0.0
198,Hambantota,LK,6.12,81.12,84.2,79,20,9.17,few clouds,0.0,0.0
199,Norman Wells,CA,65.28,-126.83,53.6,71,90,9.17,shower rain,0.0,0.0
200,Kupang,ID,-10.17,123.58,84.2,58,40,23.04,scattered clouds,0.0,0.0
201,Conguaco,GT,14.04,-90.03,62.73,100,100,1.95,overcast clouds,0.0,0.0
202,Silver City,US,32.77,-108.28,84.99,18,1,4.81,clear sky,0.0,0.0
203,Willowmore,ZA,-33.29,23.49,42.8,84,37,4.83,scattered clouds,0.0,0.0
204,Umm Lajj,SA,25.02,37.27,79.74,55,89,3.91,overcast clouds,0.0,0.0
205,Lumphat,KH,13.49,106.98,84.69,71,10,4.05,clear sky,0.0,0.0
206,Beyneu,KZ,45.32,55.2,89.74,18,0,3.74,clear sky,0.0,0.0
207,Destin,US,30.39,-86.5,82.0,83,20,5.82,light rain,0.0,0.0
208,College,US,64.86,-147.8,73.99,53,75,4.7,shower rain,0.0,0.0
209,Irece,BR,-11.3,-41.86,62.96,86,0,11.52,clear sky,0.0,0.0
210,Moramanga,MG,-18.93,48.2,51.85,96,57,3.58,broken clouds,0.0,0.0
211,Teguldet,RU,57.31,88.17,61.03,92,100,3.11,light rain,0.0,0.0
212,Sagaing,MM,21.88,95.98,87.8,66,40,8.05,scattered clouds,0.0,0.0
213,Bela,IN,25.93,81.98,78.4,89,100,8.46,moderate rain,0.0,0.0
214,Tura,IN,25.52,90.22,84.11,73,24,6.24,few clouds,0.0,0.0
215,Delmas,ZA,-26.15,28.68,46.0,64,0,1.12,clear sky,0.0,0.0
216,Lahij,YE,13.17,44.58,82.65,59,34,2.48,scattered clouds,0.0,0.0
217,Rawson,AR,-43.3,-65.1,39.51,73,0,11.3,clear sky,0.0,0.0
